city_ascii,lat,lng,country,division
Malolos,14.8433,120.8114,Philippines,Asia
La Paz,24.1422,-110.3108,Mexico,North America
Wilmington,34.21,-77.8866,United States,North America
Raichur,16.2104,77.355,India,Asia
Mawlamyine,16.4847,97.6258,Myanmar,Asia
Turmero,10.2283,-67.4753,Venezuela,Oceania
Kuala Terengganu,5.3303,103.1408,Malaysia,Asia
Daloa,6.89,-6.45,Ivory Coast,Africa
Puerto Princesa,9.75,118.75,Philippines,Asia
Mocamedes,-15.1953,12.1508,Angola,Africa
Vitoria-Gasteiz,42.85,-2.6833,Spain,Europe
Qarshi,38.8667,65.8,Uzbekistan,Asia
Montgomery,32.3473,-86.2666,United States,North America
Gilbert,33.3101,-111.7463,United States,North America
Rishon LeZiyyon,31.95,34.8,Israel,Asia
Ongole,15.5,80.05,India,Asia
Arua,3.03,30.91,Uganda,Africa
Bharatpur,27.2172,77.49,India,Asia
Shinozaki,33.95,130.9333,Japan,Asia
Goma,-1.6794,29.2336,Congo (Kinshasa),Africa
Rach Gia,10.0125,105.0808,Vietnam,Asia
Kanggye,40.9667,126.6,"Korea, North",Asia
Taganrog,47.2333,38.9,Russia,Europe
Kiziltepe,37.1939,40.5861,Turkey,Asia
El Fasher,13.63,25.35,Sudan,Africa
Varzea Grande,-15.65,-56.14,Brazil,Oceania
Las Condes,-33.4167,-70.5833,Chile,Oceania
Glendale,33.5791,-112.2311,United States,North America
Santiago del Estero,-27.7844,-64.2669,Argentina,Oceania
Hakodate,41.7733,140.7261,Japan,Asia
Usak,38.6833,29.4,Turkey,Asia
Begusarai,25.42,86.13,India,Asia
North Las Vegas,36.288,-115.0901,United States,North America
Sonipat,28.9958,77.0114,India,Asia
Los Teques,10.3411,-67.0406,Venezuela,Oceania
Mabalacat,15.2167,120.5833,Philippines,Asia
Jinshi,29.6334,111.8746,China,Asia
Chofugaoka,35.6506,139.5408,Japan,Asia
Osh,40.5333,72.7833,Kyrgyzstan,Asia
Iwo,7.63,4.18,Nigeria,Africa
Bata,1.865,9.77,Equatorial Guinea,Africa
Komsomol'sk-na-Amure,50.55,137,Russia,Europe
Babol,36.55,52.6833,Iran,Asia
Galati,45.4233,28.0425,Romania,Europe
Al Bayda',32.7628,21.755,Libya,Africa
Kurmuk,10.5563,34.2848,Sudan,Africa
Manzhouli,49.5881,117.4525,China,Asia
Braunschweig,52.2692,10.5211,Germany,Europe
Rivne,50.6197,26.2514,Ukraine,Europe
Gdynia,54.5189,18.5319,Poland,Europe
Soyapango,13.7472,-89.1639,El Salvador,North America
Palangkaraya,-2.21,113.92,Indonesia,Asia
Silang,14.2306,120.975,Philippines,Asia
Al Minya,28.0833,30.75,Egypt,Africa
Hafr al Batin,28.4337,45.9601,Saudi Arabia,Asia
Chigasaki,35.3339,139.4047,Japan,Asia
Bukan,36.5208,46.2117,Iran,Asia
Aachen,50.7762,6.0838,Germany,Europe
Kiel,54.3233,10.1394,Germany,Europe
Sahiwal,30.6706,73.1064,Pakistan,Asia
Thu Dau Mot,11.0042,106.6583,Vietnam,Asia
Novo Hamburgo,-29.6778,-51.1308,Brazil,Oceania
Sibu,2.3,111.8167,Malaysia,Asia
Yato,35.4693,139.4616,Japan,Asia
Parana,-31.7444,-60.5175,Argentina,Oceania
Yamagata,38.25,140.3333,Japan,Asia
Oruro,-17.98,-67.13,Bolivia,Oceania
Tsukuba-kenkyugakuen-toshi,36.0333,140.0667,Japan,Asia
Merlo,-34.6653,-58.7275,Argentina,Oceania
Mage,-22.6528,-43.0408,Brazil,Oceania
Syktyvkar,61.6667,50.8167,Russia,Europe
Khimki,55.8892,37.445,Russia,Europe
Biratnagar,26.4833,87.2833,Nepal,Asia
Colombo,-25.2919,-49.2239,Brazil,Oceania
Chemnitz,50.8333,12.9167,Germany,Europe
Saskatoon,52.1333,-106.6833,Canada,North America
Colon,9.3598,-79.9004,Panama,North America
Itagui,6.1726,-75.6096,Colombia,Oceania
Abertawe,51.6167,-3.95,United Kingdom,Europe
Jessore,23.1704,89.2,Bangladesh,Asia
Beichengqu,40.4348,113.1565,China,Asia
Tuy Hoa,13.0869,109.3086,Vietnam,Asia
Shrirampur,22.75,88.34,India,Asia
Chesapeake,36.6778,-76.3024,United States,North America
Fuji,35.1614,138.6764,Japan,Asia
Hapur,28.7437,77.7628,India,Asia
Bahir Dar,11.585,37.39,Ethiopia,Africa
Manisa,38.6131,27.4258,Turkey,Asia
Tanga,-5.0667,39.1,Tanzania,Africa
Sabzevar,36.2167,57.6667,Iran,Asia
Ramgundam,18.8,79.45,India,Asia
Porto,41.1495,-8.6108,Portugal,Europe
