city_ascii,lat,lng,division
Paso del Macho,18.9667,-96.7167,Veracruz
Amecameca de Juarez,19.1238,-98.7665,Estado de Mexico
Ometepec,16.6833,-98.4167,Guerrero
San Juan Evangelista,17.8833,-95.1333,Veracruz
Ixtapan de la Sal,18.8333,-99.6833,Estado de Mexico
Tancitaro,19.3378,-102.363,Michoacan
Villanueva,22.3536,-102.8831,Zacatecas
Champoton,19.35,-90.7167,Campeche
Catemaco,18.4167,-95.1167,Veracruz
San Salvador El Seco,19.1333,-97.65,Puebla
Ciudad Sabinas Hidalgo,26.5,-100.1833,Nuevo Leon
Huatabampo,26.8304,-109.63,Sonora
Escarcega,18.6067,-90.7344,Campeche
Cananea,30.9819,-110.3006,Sonora
Ciudad Sahagun,19.7714,-98.5803,Hidalgo
Rincon de Romos,22.2333,-102.3167,Aguascalientes
Zumpango del Rio,17.65,-99.5,Guerrero
Soledad de Doblado,19.0447,-96.4233,Veracruz
Otumba,19.6969,-98.7547,Estado de Mexico
Alamo,20.9167,-97.675,Veracruz
Cuitzeo del Porvenir,19.9686,-101.1394,Michoacan
Navolato,24.7656,-107.7019,Sinaloa
El Salto,23.7823,-105.3585,Durango
San Fernando,24.8504,-98.16,Tamaulipas
Contla,19.3333,-98.1667,Tlaxcala
Tuxpan,19.5661,-100.4625,Michoacan
Xalisco,21.4481,-104.9,Nayarit
Jamay,20.2944,-102.7097,Jalisco
Los Reyes de Juarez,18.9267,-97.7983,Puebla
Ojinaga,29.5644,-104.4164,Chihuahua
Frontera,18.5336,-92.6469,Tabasco
Nogales,18.8167,-97.1667,Veracruz
Venustiano Carranza,20.1158,-102.6542,Michoacan
Ixhuatlancillo,18.9,-97.15,Veracruz
Tulum,20.2119,-87.4658,Quintana Roo
Paracuaro,19.1464,-102.2194,Michoacan
Miahuatlan,18.5667,-97.4333,Puebla
Hunucma,21.0153,-89.8744,Yucatan
Rafael Delgado,18.8167,-97.0667,Veracruz
Tixtla de Guerrero,17.5667,-99.4,Guerrero
Aldama,28.8386,-105.9111,Chihuahua
Altepexi,18.3676,-97.3004,Puebla
Ocatlan,19.3167,-98.2283,Tlaxcala
Tantoyuca,21.35,-98.2333,Veracruz
Ciudad Altamirano,18.3583,-100.6667,Guerrero
Magdalena de Kino,30.6167,-111.05,Sonora
Cerro Azul,21.2,-97.7331,Veracruz
Xoxocotla,18.685,-99.2439,Morelos
Chapala,20.2933,-103.1897,Jalisco
Atlatlahucan,18.935,-98.9,Morelos
Carlos A. Carrillo,18.3667,-95.75,Veracruz
Meoqui,28.2722,-105.4819,Chihuahua
Cheran,19.6833,-101.95,Michoacan
Ocampo,21.65,-101.5,Guanajuato
Cazones de Herrera,20.7,-97.3,Veracruz
Oxkutzkab,20.3028,-89.4183,Yucatan
Texistepec,17.9,-94.8167,Veracruz
Malinalco,18.9483,-99.4947,Estado de Mexico
Heroica Ciudad de Tlaxiaco,17.2077,-97.6798,Oaxaca
Castanos,26.7833,-101.4167,Coahuila de Zaragoza
Atoyac de Alvarez,17.2,-100.4333,Guerrero
San Juan Zitlaltepec,19.7167,-99.05,Morelos
Santiago Ixcuintla,21.811,-105.2079,Nayarit
Chocaman,19.0167,-97.0333,Veracruz
Tlacolula de Matamoros,16.9542,-96.4792,Oaxaca
